Date,SAMPLE_NAME,Order
05.01.15,X1.DIV4.1,1
19.01.15,X2.DIV4.2,2
02.02.15,X3.DIV4.3,3
16.02.15,X4.DIV4.4,4
02.03.15,X5.DIV4.5,5
16.03.15,X6.DIV4.6,6
23.03.15,X7.DIV4.7,7
07.04.15,X8.DIV4.8,8
20.04.15,X9.DIV4.9,9
27.04.15,X10.DIV4.10,10
11.05.15,X11.DIV4.11,11
18.05.15,X12.DIV4.12,12
26.05.15,X13.DIV4.13,13
08.06.15,X14.DIV4.14,14
15.06.15,X15.DIV4.15,15
22.06.15,X16.DIV4.16,16
29.06.15,X17.DIV4.17,17
13.07.15,X18.DIV4.18,18
20.07.15,X19.DIV4.19,19
27.07.15,X20.DIV4.20,20
10.08.15,X21.DIV4.21,21
17.08.15,X22.DIV4.22,22
24.08.15,X23.DIV4.23,23
31.08.15,X24.DIV4.24,24
14.09.15,X25.DIV4.25,25
21.09.15,X26.DIV4.26,26
29.09.15,X27.DIV4.27,27
12.10.15,X28.DIV4.28,28
19.10.15,X29.DIV4.29,29
26.10.15,X30.DIV4.30,30
09.11.15,X31.DIV4.31,31
23.11.15,X32.DIV4.32,32
07.12.15,X33.DIV4.33,33
21.12.15,X34.DIV4.34,34
04.01.16,X35.DIV4.35,35
18.01.16,X36.DIV4.36,36
01.02.16,X37.DIV4.37,37
15.02.16,X38.DIV4.38,38
26.02.16,X39.DIV4.39,39
14.03.16,X40.DIV4.40,40
29.03.16,X41.DIV4.41,41
04.04.16,X42.DIV4.42,42
11.04.16,X43.DIV4.43,43
18.04.16,X44.DIV4.44,44
25.04.16,X45.DIV4.45,45
02.05.16,X46.DIV4.46,46
09.05.16,X47.DIV4.47,47
16.05.16,X48.DIV4.48,48
23.05.16,X49.DIV4.49,49
30.05.16,X50.DIV4.50,50
06.06.16,X51.DIV4.51,51
13.06.16,X52.DIV4.52,52
20.06.16,X53.DIV4.53,53
27.06.16,X54.DIV4.54,54
04.07.16,X55.DIV4.55,55
11.07.16,X56.DIV4.56,56
18.07.16,X57.DIV4.57,57
25.07.16,X58.DIV4.58,58
01.08.16,X59.DIV4.59,59
08.08.16,X60.DIV4.60,60
15.08.16,X61.DIV4.61,61
22.08.16,X62.DIV4.62,62
29.08.16,X63.DIV4.63,63
05.09.16,X64.DIV4.64,64
12.09.16,X65.DIV4.65,65
19.09.16,X66.DIV4.66,66
26.09.16,X67.DIV4.67,67
03.10.16,X68.DIV4.68,68
10.10.16,X69.DIV4.69,69
17.10.16,X70.DIV4.70,70
24.10.16,X71.DIV4.71,71
31.10.16,X72.DIV4.72,72
07.11.16,X73.DIV4.73,73
14.11.16,X74.DIV4.74,74
21.11.16,X75.DIV4.75,75
05.12.16,X76.DIV4.76,76
12.12.16,X77.DIV4.77,77
19.12.16,X78.DIV4.78,78
02.01.17,X79.DIV4.79,79
16.01.17,X80.DIV4.80,80
30.01.17,X81.DIV4.81,81
13.02.17,X82.DIV4.82,82
27.02.17,X83.DIV4.83,83
03.03.17,X84.DIV4.84,84
13.03.17,X85.DIV4.85,85
20.03.17,X86.DIV4.86,86
27.03.17,X87.DIV4.87,87
03.04.17,X88.DIV4.88,88
10.04.17,X89.DIV4.89,89
18.04.17,X90.DIV4.90,90
24.04.17,X91.DIV4.91,91
02.05.17,X92.DIV4.92,92
08.05.17,X93.DIV4.93,93
15.05.17,X94.DIV4.94,94
22.05.17,X95.DIV4.95,95
29.05.17,X96.DIV4.96,96
06.06.17,X97.DIV4.97,97
12.06.17,X98.DIV4.98,98
19.06.17,X99.DIV4.99,99
26.06.17,X100.DIV4.100,100
03.07.17,X101.DIV4.101,101
10.07.17,X102.DIV4.102,102
17.07.17,X103.DIV4.103,103
24.07.17,X104.DIV4.104,104
31.07.17,X105.DIV4.105,105
07.08.17,X106.DIV4.106,106
14.08.17,X107.DIV4.107,107
21.08.17,X108.DIV4.108,108
28.08.17,X109.DIV4.109,109
04.09.17,X110.DIV4.110,110
11.09.17,X111.DIV4.111,111
18.09.17,X112.DIV4.112,112
25.09.17,X113.DIV4.113,113
04.10.17,X114.DIV4.114,114
09.10.17,X115.DIV4.115,115
16.10.17,X116.DIV4.116,116
23.10.17,X117.DIV4.117,117
01.11.17,X118.DIV4.118,118
06.11.17,X119.DIV4.119,119
13.11.17,X120.DIV4.120,120
20.11.17,X121.DIV4.121,121
27.11.17,X122.DIV4.122,122
04.12.17,X123.DIV4.123,123
11.12.17,X124.DIV4.124,124
18.12.17,X125.DIV4.125,125
08.01.18,S002.2018.DIV4.2,126
15.01.18,S003.2018.DIV4.3,127
22.01.18,S004.2018.DIV4.4,128
29.01.18,S005.2018.DIV4.5,129
05.02.18,S006.2018.DIV4.6,130
12.02.18,S007.2018.DIV4.7,131
19.02.18,S008.2018.DIV4.8,132
26.02.18,S009.2018.DIV4.9,133
05.03.18,S010.2018.DIV4.10,134
12.03.18,S011.2018.DIV4.11,135
19.03.18,S012.2018.DIV4.12,136
26.03.18,S013.2018.DIV4.13,137
03.04.18,S014.2018.DIV4.14,138
09.04.18,S015.2018.DIV4.15,139
16.04.18,S016.2018.DIV4.16,140
23.04.18,S017.2018.DIV4.17,141
02.05.18,S018.2018.DIV4.18,142
07.05.18,S019.2018.DIV4.19,143
14.05.18,S020.2018.DIV4.20,144
22.05.18,S021.2018.DIV4.21,145
28.05.18,S022.2018.DIV4.22,146
04.06.18,S023.2018.DIV4.23,147
11.06.18,S024.2018.DIV4.24,148
18.06.18,S025.2018.DIV4.25,149
25.06.18,S026.2018.DIV4.26,150
02.07.18,S027.2018.DIV4.27,151
09.07.18,S028.2018.DIV4.28,152
16.07.18,S029.2018.DIV4.29,153
23.07.18,S030.2018.DIV4.30,154
30.07.18,S031.2018.DIV4.31,155
06.08.18,S032.2018.DIV4.32,156
13.08.18,S033.2018.DIV4.33,157
20.08.18,S034.2018.DIV4.34,158
27.08.18,S035.2018.DIV4.35,159
03.09.18,S036.2018.DIV4.36,160
10.09.18,S037.2018.DIV4.37,161
17.09.18,S038.2018.DIV4.38,162
24.09.18,S039.2018.DIV4.39,163
01.10.18,S040.2018.DIV4.40,164
08.10.18,S041.2018.DIV4.41,165
15.10.18,S042.2018.DIV4.42,166
22.10.18,S043.2018.DIV4.43,167
29.10.18,S044.2018.DIV4.44,168
05.11.18,S045.2018.DIV4.45,169
12.11.18,S046.2018.DIV4.46,170
19.11.18,S047.2018.DIV4.47,171
26.11.18,S048.2018.DIV4.48,172
03.12.18,S049.2018.DIV4.49,173
10.12.18,S050.2018.DIV4.50,174
17.12.18,S051.2018.DIV4.51,175
